ticket_description,category,priority
"Laptop overheats after long usage affecting critical business operations, this is a low impact issue (ticket 6274)",Hardware,Low
"Battery drains unusually fast since this morning, this is a non-critical issue (ticket 6275)",Hardware,Low
"Hard disk failure warning appears during peak working hours, this is a blocking operations issue (ticket 6276)",Hardware,High
"Hardware device not recognized by system since this morning, this is a needs attention issue (ticket 6277)",Hardware,Medium
"Hardware device not recognized by system after the latest system update, this is a occasionally issue (ticket 6278)",Hardware,Low
"Battery drains unusually fast affecting critical business operations, this is a needs attention issue (ticket 6279)",Hardware,Medium
"Laptop overheats after long usage since this morning, this is a affects productivity issue (ticket 6280)",Hardware,Medium
"Hard disk failure warning appears after the latest system update, this is a low impact issue (ticket 6281)",Hardware,Low
"Laptop overheats after long usage after recent configuration changes, this is a system down issue (ticket 6282)",Hardware,High
"Hardware device not recognized by system on the office laptop, this is a affects productivity issue (ticket 6283)",Hardware,Medium
"Hardware device not recognized by system on the office laptop, this is a affects productivity issue (ticket 6284)",Hardware,Medium
"Laptop overheats after long usage reported by several employees, this is a minor issue (ticket 6285)",Hardware,Low
"Hard disk failure warning appears for multiple users in the same department, this is a occasionally issue (ticket 6286)",Hardware,Low
"Battery drains unusually fast during peak working hours, this is a non-critical issue (ticket 6287)",Hardware,Low
"Hardware device not recognized by system for multiple users in the same department, this is a occasionally issue (ticket 6288)",Hardware,Low
"Hard disk failure warning appears after the latest system update, this is a moderate impact issue (ticket 6289)",Hardware,Medium
"Hard disk failure warning appears affecting critical business operations, this is a low impact issue (ticket 6290)",Hardware,Low
"Hardware device not recognized by system since this morning, this is a occasionally issue (ticket 6291)",Hardware,Low
"Hardware device not recognized by system for multiple users in the same department, this is a affects productivity issue (ticket 6292)",Hardware,Medium
"Printer does not respond to commands since this morning, this is a blocking operations issue (ticket 6293)",Hardware,High
"Hardware device not recognized by system during peak working hours, this is a needs attention issue (ticket 6294)",Hardware,Medium
"Laptop overheats after long usage affecting critical business operations, this is a affects productivity issue (ticket 6295)",Hardware,Medium
"Laptop overheats after long usage after recent configuration changes, this is a moderate impact issue (ticket 6296)",Hardware,Medium
"Several keyboard keys are not functioning after the latest system update, this is a occasionally issue (ticket 6297)",Hardware,Low
"Laptop overheats after long usage after the latest system update, this is a occasionally issue (ticket 6298)",Hardware,Low
"Hard disk failure warning appears for multiple users in the same department, this is a non-critical issue (ticket 6299)",Hardware,Low
"Laptop overheats after long usage after recent configuration changes, this is a non-critical issue (ticket 6300)",Hardware,Low
"Monitor screen keeps flickering when connected to office network, this is a affects productivity issue (ticket 6301)",Hardware,Medium
"Printer does not respond to commands when connected to office network, this is a needs attention issue (ticket 6302)",Hardware,Medium
"Printer does not respond to commands since this morning, this is a non-critical issue (ticket 6303)",Hardware,Low
"Hardware device not recognized by system affecting critical business operations, this is a occasionally issue (ticket 6304)",Hardware,Low
"Hard disk failure warning appears after the latest system update, this is a minor issue (ticket 6305)",Hardware,Low
"Monitor screen keeps flickering after recent configuration changes, this is a low impact issue (ticket 6306)",Hardware,Low
"Battery drains unusually fast for multiple users in the same department, this is a minor issue (ticket 6307)",Hardware,Low
"Laptop overheats after long usage reported by several employees, this is a non-critical issue (ticket 6308)",Hardware,Low
"Battery drains unusually fast intermittently throughout the day, this is a needs attention issue (ticket 6309)",Hardware,Medium
"Several keyboard keys are not functioning during peak working hours, this is a non-critical issue (ticket 6310)",Hardware,Low
"Several keyboard keys are not functioning intermittently throughout the day, this is a moderate impact issue (ticket 6311)",Hardware,Medium
"Laptop overheats after long usage since this morning, this is a affects productivity issue (ticket 6312)",Hardware,Medium
"Hard disk failure warning appears affecting critical business operations, this is a low impact issue (ticket 6313)",Hardware,Low
"Laptop overheats after long usage for multiple users in the same department, this is a moderate impact issue (ticket 6314)",Hardware,Medium
"Battery drains unusually fast when connected to office network, this is a needs attention issue (ticket 6315)",Hardware,Medium
"Several keyboard keys are not functioning after recent configuration changes, this is a moderate impact issue (ticket 6316)",Hardware,Medium
"Monitor screen keeps flickering for multiple users in the same department, this is a minor issue (ticket 6317)",Hardware,Low
